Total Household Income,Total Food Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,Fashion Spendings,Housing Expenditure,Medical Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Farming and Gardening expenses,Miscellaneous and Special Occasions Expenditure,Sex,Age,Marital Status,Total Number of Family members,Savings
1315110,209566.0,33090,540,3982,19720,37740,28910,36960,10920,1400,57070,75348,1,81,1,8,799864.0
163950,112752.0,14515,1478,905,4890,5712,215,10800,1260,1270,0,9070,1,52,1,8,1083.0
211703,128317.0,11780,1080,7964,7474,16932,175,14994,3840,3650,0,20122,1,43,1,4,-4625.0
124430,82662.5,7200,1606,104,2740,5172,120,8460,1296,15500,23140,7146,1,54,1,2,-30716.5
405555,118035.5,36890,1650,0,12901,20508,2800,21420,3360,32350,21938,42908,1,42,1,5,90794.5
141118,113226.0,0,135,5992,7080,4668,360,1680,1008,0,21975,7976,1,68,1,8,-22982.0
141448,90032.0,17140,381,192,2445,5040,148,11040,540,700,0,9572,1,34,1,6,4218.0
144437,98385.0,9700,258,60,4360,6576,460,8640,1380,1800,12590,9094,1,51,1,6,-8866.0
291776,75535.5,1600,0,0,4079,24630,21720,3840,780,0,0,13058,0,33,1,2,146533.5
148630,96135.5,9665,533,3620,4010,6636,470,8880,540,6830,15250,9076,1,45,1,6,-13015.5
153305,106752.0,18840,528,7240,7370,4248,120,12540,0,8160,32615,7404,1,42,1,7,-52512.0
104245,65487.0,3920,3172,5792,2950,4272,150,2940,750,1450,24250,7854,1,33,1,4,-18742.0
144684,83525.0,6310,533,0,7070,6108,230,5460,1500,2500,0,13980,1,42,1,3,17468.0
164255,70301.0,15460,11166,156,5515,9000,1545,9360,2880,3150,0,7332,1,38,1,4,28390.0
189364,122717.5,33620,2170,0,8045,10638,2778,19860,3456,13400,0,11004,1,47,1,6,-38324.5
41138,25098.0,0,0,0,1220,3702,130,360,0,0,0,528,0,75,0,1,10100.0
396594,124117.0,13885,291,0,4385,7176,738,15180,1560,370,44510,7838,1,56,1,5,176544.0
269740,121417.5,5520,246,9050,8270,6588,240,17160,1620,410,26770,10360,1,54,1,8,62088.5
81836,68199.0,3355,1286,724,4390,4764,170,1200,450,0,0,5804,1,32,1,4,-8506.0
135385,102679.5,3720,1310,2964,4760,4752,510,1260,0,239,0,8236,1,56,1,6,4954.5
92955,64038.5,0,240,1170,3310,8382,165,2820,3000,0,0,6806,1,31,1,2,3023.5
281750,105337.5,12690,3660,0,8970,21960,295,4176,3480,15185,0,12062,1,40,1,3,93934.5
207407,91782.0,0,1170,0,3260,11466,84,1680,2160,0,71810,8902,1,53,1,4,15093.0
148600,105939.5,14515,0,0,3810,6240,163,1560,3240,1400,7600,9222,0,46,2,6,-5089.5
159263,103806.0,6675,540,1040,2880,9522,229,780,1800,150,27210,7266,1,39,1,6,-2635.0
212016,70747.5,1130,0,0,1480,5298,150,1200,960,100,38395,8828,1,54,1,5,83727.5
81643,39952.0,0,270,0,510,4674,158,540,0,0,6800,2982,1,68,0,2,25757.0
254631,74862.0,4850,3390,0,2630,10758,47,8436,3000,1300,4010,7738,1,43,1,2,133610.0
177098,108137.5,1800,3705,1690,4770,12078,240,2400,4500,0,28855,18114,1,56,1,7,-9191.5
256754,101717.5,1800,2665,9455,3980,7200,110,2460,3060,0,0,14772,1,48,1,6,109534.5
269702,29046.0,0,0,0,280,11496,83,300,120,0,0,164574,1,78,2,2,63803.0
346961,115548.0,6640,270,0,2970,12648,120,1704,3600,600,22310,10704,1,59,1,9,169847.0
252104,48393.5,0,540,0,950,9480,220,1380,1440,0,0,4612,0,47,0,1,185088.5
438125,114921.5,17520,1310,0,5755,26310,13712,6840,6120,2600,0,19688,1,59,1,6,223348.5
430278,69589.5,6310,2080,0,2165,16680,1300,1200,1800,320,11140,11212,1,48,1,4,306481.5
452764,108344.5,1800,988,4400,5940,19836,222,4098,3600,0,14620,16182,1,54,1,4,272733.5
534140,104482.5,23400,0,0,7610,25440,7197,13560,4200,0,300,32374,1,56,1,2,315576.5
173657,46953.0,0,1560,2340,2350,4932,15,0,0,0,65790,2022,1,62,1,2,47695.0
163006,55601.0,600,474,0,1260,10824,12960,2280,300,0,58350,13456,1,58,1,2,6901.0
170529,70044.0,300,0,0,1490,10170,1300,9600,900,0,30200,5036,0,54,2,2,41489.0
139093,59976.5,600,870,0,2385,7200,520,1800,480,0,46374,2970,1,48,1,3,15917.5
146248,89554.0,4380,720,1560,5380,5796,9310,8808,1380,1150,1850,11642,1,65,0,5,4718.0
104656,67243.5,1130,0,0,500,3960,900,2160,180,0,17587,4532,1,87,2,5,6463.5
129628,104520.0,102265,240,1560,1756,4620,366,2280,780,100,0,3768,1,29,1,4,-92627.0
181810,76486.5,2025,0,1820,255,9078,715,1320,564,200,61670,5520,1,56,1,4,22156.5
510111,98912.0,12645,0,0,12740,11292,640,9942,8694,600,71850,15494,0,47,1,4,267302.0
427373,71949.5,10380,0,0,7995,19446,1494,7062,3600,575,43875,40614,1,39,1,5,220382.5
275729,142307.5,6180,2132,0,14925,9000,221,10080,1200,350,0,9874,0,45,2,13,79459.5
155004,70211.5,2025,4420,0,4385,5922,0,2640,1080,690,37100,2934,1,45,1,4,23596.5
245296,94485.0,0,210,1872,4360,9228,470,2040,1110,0,32010,9614,1,59,1,8,89897.0
172626,54169.0,600,0,0,1430,7002,0,540,840,0,63825,3750,1,72,1,2,40470.0
272845,75955.0,1825,1430,520,5935,9756,60,3600,540,0,106570,3054,1,54,1,5,63600.0
75326,62271.5,1295,910,1352,3400,5100,125,1440,330,60,2500,3792,1,35,1,3,-7249.5
148218,103267.0,6290,0,0,3610,5970,900,2520,480,1930,25883,6606,1,49,1,10,-9238.0
298245,55384.0,1950,222,0,160,8418,210,4950,780,0,141380,4050,1,56,0,2,80741.0
185056,60545.0,1200,1000,0,3920,9294,215,4560,858,0,67215,9932,1,58,1,3,26317.0
124100,51695.0,565,870,1326,4410,10566,325,2520,300,229,20840,5260,1,58,1,5,25194.0
96472,52365.0,0,0,0,700,6210,60,1320,210,0,850,3042,0,60,2,4,31715.0
