Date,Open,High,Low,Close,Adj Close,Volume
2016-09-22,3500.0,3577.800049,3500.0,3538.600098,3400.503174,34005.0
2016-09-23,3538.600098,3553.449951,3515.649902,3531.75,3393.920654,12202.0
2016-09-26,3565.0,3565.0,3450.949951,3463.699951,3328.526367,20116.0
2016-09-27,3486.0,3499.899902,3440.0,3450.550049,3315.889404,25136.0
2016-09-28,3475.0,3490.0,3439.5,3450.449951,3315.793213,9021.0
2016-09-29,3485.0,3495.949951,3409.949951,3428.5,3294.700195,23116.0
2016-09-30,3462.0,3462.0,3392.0,3414.350098,3281.102051,30064.0
2016-10-03,3469.0,3542.850098,3448.0,3523.0,3385.512207,27021.0
2016-10-04,3581.0,3600.0,3516.300049,3531.550049,3393.728271,37865.0
2016-10-05,3583.0,3583.0,3485.0,3490.399902,3354.184082,46327.0
2016-10-06,3525.300049,3525.300049,3462.399902,3473.600098,3338.040039,29617.0
2016-10-07,3495.0,3495.0,3450.0,3471.699951,3336.214111,24530.0
2016-10-10,3499.0,3512.899902,3479.100098,3489.699951,3353.511719,57951.0
2016-10-13,3491.0,3519.0,3468.550049,3493.5,3357.16333,37207.0
2016-10-14,3515.0,3518.850098,3466.949951,3482.199951,3346.304443,18211.0
2016-10-17,3510.0,3510.0,3393.0,3404.149902,3271.300049,27398.0
2016-10-18,3404.149902,3435.649902,3383.25,3410.5,3277.402344,38264.0
2016-10-19,3420.0,3420.0,3360.0,3367.0,3235.599854,21364.0
2016-10-20,3376.300049,3404.449951,3355.5,3362.75,3231.515869,20442.0
2016-10-21,3371.100098,3375.5,3344.550049,3360.550049,3229.401855,17257.0
2016-10-24,3360.0,3371.5,3330.0,3334.300049,3204.17627,20174.0
2016-10-25,3335.0,3372.699951,3331.050049,3357.25,3226.230713,16410.0
2016-10-26,3410.0,3454.800049,3375.0,3421.550049,3288.02124,52997.0
2016-10-27,3470.0,3470.0,3300.149902,3314.75,3185.38916,147088.0
2016-10-28,3345.0,3420.0,3324.899902,3348.649902,3217.96582,27973.0
2016-11-01,3370.0,3388.100098,3355.0,3370.800049,3239.251465,14418.0
2016-11-02,3360.0,3360.0,3316.25,3324.25,3194.518311,13110.0
2016-11-03,3330.0,3400.0,3317.0,3379.5,3247.612305,25377.0
2016-11-04,3390.0,3390.0,3250.0,3282.949951,3154.830078,25472.0
2016-11-07,3300.0,3379.0,3264.649902,3350.149902,3219.407471,21026.0
2016-11-08,3378.0,3381.0,3327.0,3369.600098,3238.098633,13179.0
2016-11-09,3262.0,3262.0,3097.949951,3235.699951,3109.424072,60177.0
2016-11-10,3290.0,3312.449951,3135.0,3144.550049,3021.831299,43561.0
2016-11-11,3144.550049,3144.550049,2970.0,2981.75,2865.384521,46674.0
2016-11-15,2980.0,2980.0,2869.0,2900.699951,2787.497803,41726.0
2016-11-16,2926.0,3018.0,2894.350098,2914.5,2800.759277,32577.0
2016-11-17,2949.0,2949.0,2844.399902,2878.149902,2765.827881,36841.0
2016-11-18,2900.0,2942.0,2876.0,2934.75,2820.218994,98899.0
2016-11-21,2945.0,2953.449951,2897.0,2928.100098,2813.828613,50614.0
2016-11-22,2941.0,3015.0,2933.25,2997.0,2880.039551,25999.0
2016-11-23,3030.0,3030.0,2996.350098,3012.850098,2895.27124,14436.0
2016-11-24,2999.0,3069.0,2978.550049,3049.600098,2930.587158,11790.0
2016-11-25,3050.0,3092.5,3029.399902,3039.100098,2920.496582,16839.0
2016-11-28,3050.0,3117.0,3050.0,3101.5,2980.461426,19785.0
2016-11-29,3117.899902,3180.0,3074.399902,3160.050049,3036.726563,25695.0
2016-11-30,3160.0,3176.0,3135.0,3169.0,3045.327148,13433.0
2016-12-01,3159.5,3215.0,3148.699951,3178.350098,3054.3125,18222.0
2016-12-02,3160.0,3213.0,3150.5,3183.699951,3059.453369,20562.0
2016-12-05,3183.649902,3258.0,3170.600098,3224.399902,3098.565186,22175.0
2016-12-06,3228.699951,3241.199951,3186.199951,3198.0,3073.195557,9036.0
2016-12-07,3250.0,3250.0,3200.0,3227.199951,3101.255859,19702.0
2016-12-08,3260.0,3331.5,3248.100098,3308.949951,3179.81543,33094.0
2016-12-09,3344.0,3344.0,3271.050049,3281.149902,3153.100342,15235.0
2016-12-12,3272.0,3272.0,3199.550049,3216.550049,3091.021484,13281.0
2016-12-13,3210.0,3239.449951,3195.449951,3201.949951,3076.991211,28525.0
2016-12-14,3206.899902,3221.050049,3142.0,3163.199951,3039.753418,14102.0
2016-12-15,3149.600098,3200.149902,3120.050049,3168.100098,3044.462402,18202.0
2016-12-16,3168.100098,3183.399902,3119.5,3128.0,3005.927246,8615.0
2016-12-19,3151.649902,3151.649902,3087.699951,3105.699951,2984.497559,14776.0
2016-12-20,3135.0,3135.0,3040.199951,3057.149902,2937.842041,39921.0
2016-12-21,3068.0,3101.0,3021.050049,3026.649902,2908.532471,17115.0
2016-12-22,3022.0,3040.0,2983.800049,3000.5,2883.403076,14235.0
2016-12-23,3008.0,3050.0,2992.149902,3036.0,2917.517578,8556.0
2016-12-26,3040.100098,3045.850098,2976.5,3004.399902,2887.150635,9499.0
2016-12-27,2981.0,3046.350098,2957.0,3034.0,2915.595459,13470.0
2016-12-28,3035.0,3050.0,3000.0,3004.800049,2887.5354,10288.0
2016-12-29,3032.949951,3050.0,2975.0,3032.300049,2913.961914,18905.0
2016-12-30,3045.0,3061.5,3028.0,3044.75,2925.92627,17910.0
2017-01-02,3045.0,3068.100098,2991.5,3028.699951,2910.502686,19692.0
2017-01-03,2972.699951,3018.449951,2966.0,2987.350098,2870.766357,19758.0
2017-01-04,3012.0,3025.949951,2976.050049,3014.25,2896.616211,28777.0
2017-01-05,3020.0,3081.5,3015.25,3072.300049,2952.400879,39906.0
2017-01-06,3085.0,3118.25,3055.949951,3068.600098,2948.845215,19921.0
2017-01-09,3100.0,3108.0,3029.300049,3035.899902,2917.421143,13773.0
2017-01-10,3040.100098,3073.449951,3020.100098,3062.949951,2943.415771,11475.0
2017-01-11,3070.0,3092.050049,3040.0,3087.0,2966.527344,15766.0
2017-01-12,3114.699951,3114.699951,3065.0,3079.649902,2959.464111,30618.0
2017-01-13,3084.899902,3092.699951,3021.949951,3044.649902,2925.830078,14369.0
2017-01-16,3051.0,3100.0,3029.0,3091.399902,2970.755371,9195.0
2017-01-17,3110.0,3155.0,3074.399902,3131.649902,3009.43457,19725.0
2017-01-18,3141.0,3159.0,3077.0,3088.850098,2968.304932,40555.0
2017-01-19,3104.0,3117.699951,3068.0,3107.899902,2986.611816,15233.0
2017-01-20,3105.050049,3120.0,3050.550049,3056.600098,2937.313965,18089.0
2017-01-23,3058.0,3108.899902,3044.699951,3099.550049,2978.587646,117313.0
2017-01-24,3112.0,3141.449951,3087.050049,3133.25,3010.972412,18307.0
2017-01-25,3140.0,3265.0,3124.850098,3240.350098,3113.892822,48979.0
2017-01-27,3235.0,3263.0,3201.050049,3216.300049,3090.781494,121590.0
2017-01-30,3216.300049,3216.300049,3160.149902,3196.850098,3072.090332,19774.0
2017-01-31,3210.0,3220.0,3153.75,3179.25,3055.177246,12653.0
2017-02-01,3194.0,3300.0,3170.050049,3284.100098,3155.935303,48071.0
2017-02-02,3269.800049,3291.550049,3217.5,3226.0,3100.102539,39597.0
2017-02-03,3227.0,3229.0,3202.0,3215.699951,3090.204834,27317.0
2017-02-06,3264.0,3284.5,3249.0,3262.800049,3135.466553,23318.0
2017-02-07,3270.0,3270.050049,3227.5,3258.75,3131.574463,10165.0
2017-02-08,3269.0,3282.25,3210.0,3223.800049,3097.98877,32991.0
2017-02-09,3273.0,3312.0,3228.0,3264.300049,3136.907959,35943.0
2017-02-10,3265.0,3279.0,3244.0,3266.449951,3138.974121,12390.0
2017-02-13,3266.449951,3272.550049,3211.699951,3226.399902,3100.487061,24461.0
2017-02-14,3233.850098,3233.899902,3146.5,3161.149902,3037.783447,22599.0
2017-02-15,3161.149902,3165.0,3089.100098,3098.399902,2977.482178,19406.0
2017-02-16,3110.0,3158.0,3054.0,3126.100098,3004.101563,19220.0
2017-02-17,3126.100098,3133.0,3074.0,3085.649902,2965.229736,17705.0
2017-02-20,3086.100098,3122.449951,3081.0,3103.0,2981.902832,14864.0
2017-02-21,3107.350098,3139.0,3090.5,3128.5,3006.407715,63799.0
2017-02-22,3118.050049,3173.949951,3111.850098,3164.800049,3041.291016,30629.0
2017-02-23,3150.0,3199.0,3149.550049,3177.199951,3053.207031,35401.0
2017-02-27,3218.0,3218.0,3155.899902,3168.350098,3044.702881,17392.0
2017-02-28,3172.100098,3177.949951,3129.949951,3135.0,3012.654053,63710.0
2017-03-01,3149.050049,3196.0,3149.050049,3184.0,3059.741699,18288.0
2017-03-02,3203.0,3260.5,3191.050049,3227.550049,3101.592285,118959.0
2017-03-03,3223.949951,3289.949951,3209.399902,3270.550049,3142.914063,12620.0
2017-03-06,3275.949951,3332.0,3274.600098,3320.850098,3191.251221,19044.0
2017-03-07,3315.0,3320.0,3281.649902,3299.399902,3170.637939,8177.0
2017-03-08,3331.0,3331.0,3258.5,3270.899902,3143.250244,16441.0
2017-03-09,3285.0,3297.850098,3259.949951,3273.699951,3145.941162,21027.0
2017-03-10,3302.899902,3326.949951,3290.100098,3311.600098,3182.362061,101423.0
2017-03-14,3351.0,3379.800049,3348.0,3357.5,3226.470703,533233.0
2017-03-15,3351.100098,3406.0,3340.75,3399.25,3266.591553,562322.0
2017-03-16,3367.0,3387.350098,3341.100098,3348.800049,3271.035889,19282.0
2017-03-17,3350.199951,3374.800049,3336.75,3345.25,3267.568115,10252.0
2017-03-20,3351.699951,3366.899902,3325.0,3337.649902,3260.144775,8037.0
2017-03-21,3341.050049,3358.149902,3330.0,3342.800049,3265.175049,6656.0
2017-03-22,3325.0,3338.800049,3301.0,3310.550049,3233.674072,15978.0
2017-03-23,3333.350098,3378.0,3328.050049,3366.550049,3288.373535,13156.0
2017-03-24,3356.100098,3385.0,3344.550049,3376.600098,3298.190186,17002.0
2017-03-27,3375.0,3397.0,3311.600098,3340.25,3262.684326,22216.0
2017-03-28,3344.0,3356.899902,3312.0,3328.050049,3250.767822,15892.0
2017-03-29,3328.050049,3336.399902,3180.0,3223.25,3148.401367,171949.0
2017-03-30,3210.0,3265.0,3202.649902,3231.5,3156.459717,35739.0
2017-03-31,3206.050049,3232.050049,3200.0,3223.850098,3148.987305,48072.0
2017-04-03,3250.0,3263.949951,3195.199951,3204.699951,3130.281982,16106.0
2017-04-05,3205.0,3226.5,3191.0,3196.350098,3122.125977,15219.0
2017-04-06,3190.0,3219.75,3180.0,3205.350098,3130.916992,17469.0
